name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Ley Weaver",4,"Creature - Human Druid",G,"bbd","21",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",68770,false,false,"Livia Prima"
"Starting Town",0,"Land - Town",,"fin","289",rare,Lands,Owned,Non-foil,mainboard,false,,,"","",141555,false,false,"Hristo D. Chukov"
"Restoration Angel",4,"Creature - Angel",W,"blc","150",rare,White,Owned,Non-foil,mainboard,false,,,"","",128447,false,false,"Jake Murray"
"Blacker Lotus",0,"Artifact",,"ugl","70",rare,Colorless,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Christopher Rush"
"Gwenom, Remorseless",5,"Legendary Creature - Symbiote Spider Hero",B,"spm","56",mythic,null,Owned,Non-foil,mainboard,false,,,"","",153351,false,false,"Lordigan"
"Chakram Retriever",5,"Creature - Elemental Dog",U,"bbd","15",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",68758,false,false,"Dmitry Burmak"
"Kaalia of the Vast",4,"Legendary Creature - Human Cleric",BRW,"mh3","290",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",125991,false,false,"Justyna Dura"
"Baylen, the Haymaker",3,"Legendary Creature - Rabbit Warrior",GRW,"blb","205",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",129655,false,false,"Ryan Pancoast"
"Protean Hulk",7,"Creature - Beast",G,"dis","90",rare,Green,Owned,Non-foil,mainboard,false,,,"","",24305,false,false,"Matt Cavotta"
"Marath, Will of the Wild",3,"Legendary Creature - Elemental Beast",GRW,"oc13","198",mythic,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Tyler Jacobson"
"Vislor Turlough",4,"Legendary Creature - Rogue",B,"who","74",rare,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Wangjie Li"
"Splinter, the Mentor",2,"Legendary Creature - Mutant Ninja Rat",B,"tmc","3",mythic,null,Owned,Non-foil,mainboard,false,,,"","",147335,false,false,"Andrea Tentori Montalto"
"Daze",2,"Instant",U,"soa","80",uncommon,Blue,Owned,Non-foil,mainboard,false,,,"","",148467,false,false,"Ayami Nakashima"
"Look at Me, I'm R&D",3,"Enchantment",W,"und","9",rare,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,""
"Puresteel Angel",8,"Artifact Creature - Angel",,"cmb2","109",rare,Colorless,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Lukas Litzsinger"
"Phyrexian Walker",0,"Artifact Creature - Phyrexian Construct",,"vis","152",common,null,Owned,Non-foil,mainboard,false,,,"","",7667,false,false,"Bryan Talbot"
"Sword of Wealth and Power",3,"Artifact - Equipment",,"big","26",mythic,null,Owned,Non-foil,mainboard,false,,,"","",125413,false,false,"Dominik Mayer"
"Aang, at the Crossroads",5,"Legendary Creature - Human Avatar Ally",GUW,"tla","203",rare,null,Owned,Non-foil,mainboard,false,,,"","",144892,false,false,"Evan Shipard"
"Hashaton, Scarab's Fist",2,"Legendary Creature - Zombie Wizard",BWU,"drc","1",mythic,Multicolored,Owned,Foil,mainboard,false,,,"","",137199,false,false,"Wisnu Tan"
"Marchesa, Dealer of Death",3,"Legendary Creature - Human Rogue",BRU,"otj","220",rare,null,Owned,Non-foil,mainboard,false,,,"","",124351,false,false,"Ryan Pancoast"
"The Soul Stone",2,"Legendary Artifact - Infinity Stone",B,"spm","66",mythic,null,Proxied,Non-foil,mainboard,false,,,"","",153371,false,false,"Volkan Baǵa"
"Emeritus of Woe",4,"Creature - Vampire Warlock",B,"sos","80",mythic,null,Owned,Non-foil,mainboard,false,,,"","",149659,false,false,"Jodie Muir"
"Return the Favor",2,"Instant",R,"soa","112",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",148531,false,false,"Karuta Shiki"
"Plagon, Lord of the Beach",3,"Legendary Creature - Starfish Wizard",U,"j25","37",rare,null,Owned,Non-foil,mainboard,false,,,"","",132754,false,false,"GOSSAN"
"Waxen Shapethief",4,"Creature - Shapeshifter",U,"dft","74",rare,null,Owned,Non-foil,mainboard,false,,,"","",136271,false,false,"Helge C. Balzer"
"Worldgorger Dragon",6,"Creature - Nightmare Dragon",R,"dmr","148",mythic,null,Owned,Non-foil,mainboard,false,,,"","",107785,false,false,"Néstor Ossandón Leal"
"Yavimaya, Cradle of Growth",0,"Legendary Land",,"mh2","261",rare,Lands,Owned,Non-foil,mainboard,false,,,"","",90903,false,false,"Sarah Finnigan"
"Rocco, Cabaretti Caterer",3,"Legendary Creature - Elf Druid",GRW,"snc","218",uncommon,Multicolored,Owned,Non-foil,mainboard,false,,,"","",98655,false,false,"Chris Seaman"
"Alesha, Who Smiles at Death",3,"Legendary Creature - Human Warrior",BRW,"dmc","118",rare,null,Owned,Non-foil,mainboard,false,,,"","",103122,false,false,"Anastasia Ovchinnikova"
"Anikthea, Hand of Erebos",5,"Legendary Enchantment Creature - Demigod",BGW,"cmm","705",mythic,null,Owned,Foil,mainboard,false,,,"","",114529,false,false,"Magali Villeneuve"
"The Wise Mothman",4,"Legendary Creature - Insect Mutant",BGU,"pip","343",mythic,null,Owned,Non-foil,mainboard,false,,,"","",131531,false,false,"David Gaillet"
"Teysa Karlov",4,"Legendary Creature - Human Advisor",BW,"rna","212",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",71424,false,false,"Magali Villeneuve"
"Minamo, School at Water's Edge",0,"Legendary Land",,"chk","279",rare,null,Proxied,Non-foil,mainboard,false,,,"","",21385,false,false,"Jeremy Jarvis"
"Second City",0,"Land - Town",,"pf25","4",rare,Lands,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Mark Rosewater"
"Henzie ""Toolbox"" Torre",3,"Legendary Creature - Devil Rogue",BGR,"ncc","2",mythic,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Johannes Voss"
"Abrupt Decay",2,"Instant",BG,"mm3","146",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",63379,false,false,"Svetlin Velinov"
"Exotic Orchard",0,"Land",,"moc","398",rare,Lands,Owned,Non-foil,mainboard,false,,,"","",111264,false,false,"Steven Belledin"
"Rishadan Port",0,"Land",,"a25","246",rare,null,Owned,Non-foil,mainboard,false,,,"","",67406,false,false,"Jonas De Ro"
"Radagast the Brown",4,"Legendary Creature - Avatar Wizard",G,"ltr","184",mythic,null,Owned,Non-foil,mainboard,false,,,"","",112278,false,false,"Alexander Mokhov"
"Kozilek's Command",2,"Kindred Instant - Eldrazi",,"mh3","11",rare,null,Owned,Non-foil,mainboard,false,,,"","",126039,false,false,"Yeong-Hao Han"
"Ob Nixilis, Captive Kingpin",4,"Legendary Creature - Demon",BR,"mat","41",mythic,Multicolored,Owned,Foil,mainboard,false,,,"","",109204,false,false,"Zezhou Chen"
"Mirror Entity",3,"Creature - Shapeshifter",W,"c13","17",rare,null,Owned,Non-foil,mainboard,false,,,"","",50848,false,false,"Zoltan Boros & Gabor Szikszai"
"Fanatic of Rhonas",2,"Creature - Snake Druid",G,"mh3","152",rare,null,Owned,Non-foil,mainboard,false,,,"","",126321,false,false,"Scott Murphy"
"Snapback",2,"Instant",U,"tsr","87",common,null,Owned,Non-foil,mainboard,false,,,"","",86537,false,false,"Alan Pollack"
"Out of Time",3,"Enchantment",W,"mh2","23",rare,null,Owned,Non-foil,mainboard,false,,,"","",90415,false,false,"Tobias Kwan"
"Thought Vessel",2,"Artifact",,"blc","289",common,null,Owned,Non-foil,mainboard,false,,,"","",128725,false,false,"rk post"
"Fecund Greenshell",5,"Creature - Elemental Turtle",G,"blb","171",rare,null,Owned,Non-foil,mainboard,false,,,"","",129587,false,false,"Kisung Koh"
"Enduring Vitality",3,"Enchantment Creature - Elk Glimmer",G,"dsk","176",rare,Green,Owned,Non-foil,mainboard,false,,,"","",130483,false,false,"Valera Lutfullina"
