name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"_____ Goblin",3,"Creature - Goblin Guest",R,"unf","107",common,Red,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Chuck Lukacs"
"Abeyance",2,"Instant",W,"wth","1",rare,null,Owned,Non-foil,mainboard,false,,,"","",9353,false,false,"Thomas Gianni"
"Abrade",2,"Instant",R,"soa","102",common,Red,Owned,Non-foil,mainboard,false,,,"","",148511,false,false,"Hagiya Kaoru"
"Ad Nauseam",5,"Instant",B,"soa","90",rare,Black,Owned,Non-foil,mainboard,false,,,"","",148487,false,false,"Sawaki Takeyasu"
"Aftermath Analyst",2,"Creature - Elf Detective",G,"mkm","148",uncommon,Green,Owned,Non-foil,mainboard,false,,,"","",121772,false,false,"Danny Schwartz"
"Agate Instigator",2,"Creature - Lizard Rogue",R,"blc","21",rare,Red,Owned,Non-foil,mainboard,false,,,"","",128941,false,false,"Quintin Gleim"
"Agatha's Soul Cauldron",2,"Legendary Artifact",,"woe","242",mythic,Colorless,Proxied,Non-foil,mainboard,false,,,"","",116872,false,false,"Jason A. Engle"
"Agent of Acquisitions",2,"Artifact Creature - Construct",,"cns","54",uncommon,Colorless,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Eytan Zana"
"Aggravated Assault",3,"Enchantment",R,"wot","39",rare,Red,Owned,Non-foil,mainboard,false,,,"","",115902,false,false,"Maihope"
"Akroma, Vision of Ixidor",7,"Legendary Creature - Angel",W,"cmr","2",mythic,null,Owned,Non-foil,mainboard,false,,,"","",84786,false,false,"Chris Rahn"
"Akroma's Will",4,"Instant",W,"cmr","3",rare,White,Owned,Non-foil,mainboard,false,,,"","",84788,false,false,"Antonio José Manzanedo"
"Altar of Dementia",2,"Artifact",,"brr","3",mythic,Colorless,Owned,Non-foil,mainboard,false,,,"","",104424,false,false,"Brom"
"An Offer You Can't Refuse",1,"Instant",U,"snc","51",uncommon,Blue,Owned,Non-foil,mainboard,false,,,"","",98321,false,false,"Dallas Williams"
"Ancient Tomb",0,"Land",,"uma","236",uncommon,Lands,Proxied,Non-foil,mainboard,false,,,"","",70055,false,false,"Yeong-Hao Han"
"Angel's Grace",1,"Instant",W,"soa","67",rare,White,Owned,Non-foil,mainboard,false,,,"","",148441,false,false,"TAKUMI"
"Anger",4,"Creature - Incarnation",R,"m3c","208",uncommon,Red,Owned,Non-foil,mainboard,false,,,"","",126957,false,false,"Svetlin Velinov"
"Animar, Soul of Elements",3,"Legendary Creature - Elemental",GRU,"2x2","171",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",101826,false,false,"Filip Burburan"
"Animate Dead",2,"Enchantment - Aura",B,"5ed","140",uncommon,Black,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Anson Maddocks"
"Animate Spell",1,"Enchantment - Aura",U,"cmb2","16",rare,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Alli Steele"
"Apex Devastator",10,"Creature - Chimera Hydra",G,"cmr","217",mythic,Green,Owned,Non-foil,mainboard,false,,,"","",85216,false,false,"Svetlin Velinov"
"Appa, Steadfast Guardian",4,"Legendary Creature - Bison Ally",W,"tla","10",mythic,null,Owned,Non-foil,mainboard,false,,,"","",144496,false,false,"Maël Ollivier-Henry"
"Approach of the Second Sun",7,"Sorcery",W,"sta","64",rare,White,Owned,Non-foil,mainboard,false,,,"","",99527,false,false,"Nagano"
"Arcane Savant",5,"Creature - Human Wizard",U,"cn2","27",rare,Blue,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Chris Rallis"
"Archon of Emeria",3,"Creature - Archon",W,"znr","4",rare,White,Owned,Non-foil,mainboard,false,,,"","",82943,false,false,"Ryan Pancoast"
"Armageddon",4,"Sorcery",W,"soa","68",rare,White,Owned,Non-foil,mainboard,false,,,"","",148443,false,false,"Amayagido"
"Armix, Filigree Thrasher",3,"Legendary Artifact Creature - Golem",B,"cmr","108",uncommon,Black,Owned,Non-foil,mainboard,false,,,"","",84998,false,false,"Daniel Ljunggren"
"Ashiok, Dream Render",3,"Legendary Planeswalker - Ashiok",BU,"war","228",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",72062,false,false,"Cynthia Sheppard"
"Ashnod's Altar",3,"Artifact",,"brr","4",uncommon,Colorless,Owned,Non-foil,mainboard,false,,,"","",104426,false,false,"Greg Staples"
"Assassin's Trophy",2,"Instant",BG,"grn","152",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",69677,false,false,"Seb McKinnon"
"Atraxa, Grand Unifier",7,"Legendary Creature - Phyrexian Angel",BGUW,"one","196",mythic,Multicolored,Owned,Foil,mainboard,false,,,"","",106607,false,false,"Marta Nael"
"Aura Shards",3,"Enchantment",GW,"inv","233",uncommon,Multicolored,Owned,Non-foil,mainboard,false,,,"","",14325,false,false,"Ron Spencer"
"Auriok Salvagers",4,"Creature - Human Soldier",W,"2xm","6",uncommon,White,Owned,Non-foil,mainboard,false,,,"","",82046,false,false,"Randy Gallegos"
"Avacyn, Angel of Hope",8,"Legendary Creature - Angel",W,"cmm","14",mythic,White,Owned,Non-foil,mainboard,false,,,"","",115127,false,false,"Jason Chan"
"Avacyn's Pilgrim",1,"Creature - Human Monk",G,"mic","132",common,Multicolored,Owned,Non-foil,mainboard,false,,,"","",93680,false,false,"Jana Schirmer & Johannes Voss"
"Avatar of Growth",6,"Creature - Elemental Avatar",G,"gnt","5",mythic,Green,Proxied,Non-foil,mainboard,false,,,"","",-1,false,false,"Grzegorz Rutkowski"
"Azorius Signet",2,"Artifact",UW,"ncc","361",uncommon,Multicolored,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Raoul Vitale"
"Backdraft Hellkite",5,"Creature - Dragon",R,"2x2","103",rare,null,Owned,Non-foil,mainboard,false,,,"","",101690,false,false,"Rudy Siswanto"
"Badgermole Cub",2,"Creature - Badger Mole",G,"tla","167",mythic,null,Proxied,Non-foil,mainboard,false,,,"","",144818,false,false,"Nathaniel Himawan"
"Balance",2,"Sorcery",W,"ema","2",mythic,White,Owned,Non-foil,mainboard,false,,,"","",60981,false,false,"Kev Walker"
"Basalt Monolith",3,"Artifact",,"2xm","232",uncommon,Colorless,Owned,Non-foil,mainboard,false,,,"","",82498,false,false,"Yeong-Hao Han"
"Bazaar of Baghdad",0,"Land",,"vma","294",uncommon,Lands,Proxied,Non-foil,mainboard,false,,,"","",53233,false,false,"Christopher Moeller"
"Bello, Bard of the Brambles",3,"Legendary Creature - Raccoon Bard",GR,"blc","1",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",128991,false,false,"Slawomir Maniak"
"Beseech the Mirror",4,"Sorcery",B,"woe","82",mythic,Black,Owned,Non-foil,mainboard,false,,,"","",116474,false,false,"Cynthia Sheppard"
"Birds of Paradise",1,"Creature - Bird",G,"rav","153",rare,Green,Owned,Non-foil,mainboard,false,,,"","",23054,false,false,"Marcelo Vignali"
"Birgi, God of Storytelling",3,"Legendary Creature - God",R,"khm","123",rare,Red,Owned,Non-foil,mainboard,false,,,"","",87579,false,false,"Eric Deschamps"
"Birthing Pod",4,"Artifact",G,"nph","104",rare,Green,Owned,Non-foil,mainboard,false,,,"","",39796,false,false,"Daarken"
"Bjorna, Nightfall Alchemist",2,"Legendary Creature - Human",RU,"slx","2",rare,null,Owned,Non-foil,mainboard,false,,,"","",105931,false,false,"Jamroz Gary"
"Black Market Connections",3,"Enchantment",B,"acr","161",rare,Black,Proxied,Non-foil,mainboard,false,,,"","",127902,false,false,"Filipe Pagliuso"
"Blasting Station",3,"Artifact",,"5dn","107",uncommon,Colorless,Owned,Non-foil,mainboard,false,,,"","",20786,false,false,"Stephen Tappin"
"Blood Artist",2,"Creature - Vampire",B,"2x2","70",uncommon,Black,Owned,Non-foil,mainboard,false,,,"","",101624,false,false,"L.A. Draws"
"Bloom Tender",2,"Creature - Elf Druid",G,"2x2","138",rare,Green,Owned,Non-foil,mainboard,false,,,"","",101760,false,false,"Chippy"
"Bolas's Citadel",6,"Legendary Artifact",B,"war","79",rare,Black,Owned,Non-foil,mainboard,false,,,"","",71764,false,false,"Jonas De Ro"
"Bonders' Enclave",0,"Land",,"j22","811",rare,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Cliff Childs"
"Booster Tutor",1,"Instant",B,"und","33",uncommon,Black,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Heather Hudson"
"Boros Signet",2,"Artifact",RW,"rvr","251",uncommon,Multicolored,Owned,Non-foil,mainboard,false,,,"","",121069,false,false,"Greg Hildebrandt"
"Boseiju, Who Endures",0,"Legendary Land",G,"neo","266",rare,Lands,Proxied,Non-foil,mainboard,false,,,"","",97482,false,false,"Chris Ostrowski"
"Brain Freeze",2,"Instant",U,"soa","78",uncommon,Blue,Owned,Non-foil,mainboard,false,,,"","",148463,false,false,"Yu-ki Nishimoto"
"Breach the Multiverse",7,"Sorcery",B,"mom","94",rare,null,Owned,Non-foil,mainboard,false,,,"","",110024,false,false,"Liiga Smilshkalne"
"Breena, the Demagogue",3,"Legendary Creature - Bird Warlock",BW,"c21","1",mythic,Multicolored,Owned,Foil,mainboard,false,,,"","",89245,false,false,"Simon Dominic"
"Brightglass Gearhulk",4,"Artifact Creature - Construct",GW,"dft","191",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",136505,false,false,"José Parodi"
"Brigid, Clachan's Heart",3,"Legendary Creature - Kithkin Warrior",GW,"ecl","7",rare,null,Owned,Non-foil,mainboard,false,,,"","",146393,false,false,"Zoltan Boros"
"Buried Alive",3,"Sorcery",B,"mh3","273",uncommon,Black,Owned,Non-foil,mainboard,false,,,"","",125957,false,false,"Greg Staples"
"Burnt Offering",1,"Instant",BR,"ice","116",common,Multicolored,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Daniel Gelon"
"Buster Sword",3,"Artifact - Equipment",,"fin","255",mythic,Colorless,Proxied,Non-foil,mainboard,false,,,"","",141477,false,false,"Douzen"
"Cabal Ritual",2,"Instant",B,"tor","51",common,Black,Owned,Non-foil,mainboard,false,,,"","",17191,false,false,"Greg Hildebrandt"
"Caldera Pyremaw",5,"Creature - Dragon",R,"tdc","33",rare,Red,Owned,Non-foil,mainboard,false,,,"","",138083,false,false,"Johann Bodin"
"Call Forth the Tempest",8,"Sorcery",R,"hoc","22",rare,null,Proxied,Non-foil,mainboard,false,,,"","",154558,false,false,"Alex Horley-Orlandelli"
"Candelabra of Tawnos",1,"Artifact",,"atq","43",rare,Colorless,Proxied,Non-foil,mainboard,false,,,"","",-1,false,false,"Douglas Shuler"
"Captain Sisay",4,"Legendary Creature - Human Soldier",GW,"inv","237",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",14717,false,false,"Ray Lago"
"Capture of Jingzhou",5,"Sorcery",U,"cmm","79",mythic,null,Proxied,Non-foil,mainboard,false,,,"","",115257,false,false,"Jack Wei"
"Carrion Feeder",1,"Creature - Zombie",B,"mh1","81",rare,Black,Owned,Non-foil,mainboard,false,,,"","",72534,false,false,"Svetlin Velinov"
"Cavern-Hoard Dragon",9,"Creature - Dragon",R,"hoc","23",rare,Red,Proxied,Non-foil,mainboard,false,,,"","",154560,false,false,"Jim Pavelec"
"Celes, Rune Knight",4,"Legendary Creature - Human Wizard Knight",BRW,"fic","1",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",139993,false,false,"Néstor Ossandón Leal"
"Chain of Vapor",1,"Instant",U,"ons","73",uncommon,Blue,Owned,Non-foil,mainboard,false,,,"","",17847,false,false,"Carl Critchlow"
"Chandra, Torch of Defiance",4,"Legendary Planeswalker - Chandra",R,"q06","6",mythic,Red,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Magali Villeneuve"
"Channel",2,"Sorcery",G,"sta","113",uncommon,Green,Owned,Non-foil,mainboard,false,,,"","",99625,false,false,"Shie Nanahara"
"Chaos Warp",3,"Instant",R,"2x2","359",rare,Red,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Phil Foglio"
"Charismatic Conqueror",2,"Creature - Vampire Soldier",W,"lcc","70",rare,White,Proxied,Non-foil,mainboard,false,,,"","",119144,false,false,"Bram Sels"
"Chatterfang, Squirrel General",3,"Legendary Creature - Squirrel Warrior",GB,"blc","82",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",128285,false,false,"Olivier Bernard"
"Cheer",5,"Creature - Elemental Incarnation",RW,"hho","25",rare,null,Premium Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Alexandr Leskinen"
"Chord of Calling",3,"Instant",G,"sld","1595",rare,Green,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Kekai Kotaki"
"Chrome Mox",0,"Artifact",,"2xm","240",mythic,Colorless,Proxied,Non-foil,mainboard,false,,,"","",82514,false,false,"Volkan Baǵa"
"Chulane, Teller of Tales",5,"Legendary Creature - Human Druid",GUW,"eld","326",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",78712,false,false,"Victor Adame Minguez"
"City of Brass",0,"Land",,"2x2","321",rare,Lands,Owned,Non-foil,mainboard,false,,,"","",102126,false,false,"Kirsten Zirngibl"
"Clarion Conqueror",3,"Creature - Dragon",W,"tdm","5",rare,White,Owned,Non-foil,mainboard,false,,,"","",138953,false,false,"Nathaniel Himawan"
"Clever Impersonator",4,"Creature - Shapeshifter",U,"ktk","34",mythic,Blue,Owned,Non-foil,mainboard,false,,,"","",54318,false,false,"Slawomir Maniak"
"Clock of Omens",4,"Artifact",,"5dn","110",uncommon,Colorless,Owned,Non-foil,mainboard,false,,,"","",20784,false,false,"Alex Horley-Orlandelli"
"Cloud of Faeries",2,"Creature - Faerie",U,"dmr","43",common,Blue,Owned,Non-foil,mainboard,false,,,"","",107575,false,false,"Melissa A. Benson"
"Cloud, Midgar Mercenary",2,"Legendary Creature - Human Soldier Mercenary",W,"fin","10",mythic,White,Owned,Non-foil,mainboard,false,,,"","",140937,false,false,"Kazto Furuya"
"Codie, Vociferous Codex",3,"Legendary Artifact Creature - Construct",,"spg","157",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Andreia Ugrai"
"Collector Ouphe",2,"Creature - Ouphe",G,"mh1","158",rare,Green,Owned,Non-foil,mainboard,false,,,"","",72688,false,false,"Filip Burburan"
"Combat Celebrant",3,"Creature - Human Warrior",R,"j25","531",mythic,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Chris Rallis"
"Comet, Stellar Pup",4,"Legendary Planeswalker - Comet",RW,"unf","166",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",115784,false,false,"Jeff Miracola"
"Command Beacon",0,"Land",,"cmr","349",rare,Lands,Owned,Non-foil,mainboard,false,,,"","",85480,false,false,"Jonas De Ro"
"Consecrated Sphinx",6,"Creature - Sphinx",U,"2x2","43",mythic,Blue,Owned,Non-foil,mainboard,false,,,"","",101570,false,false,"Mark Zug"
"Corpse Dance",3,"Instant",B,"tmp","116",rare,Black,Owned,Non-foil,mainboard,false,,,"","",9801,false,false,"Brian Snõddy"
"Coruscation Mage",2,"Creature - Otter Wizard",R,"blb","131",uncommon,Red,Owned,Non-foil,mainboard,false,,,"","",129507,false,false,"Gaboleps"
"Coveted Jewel",6,"Artifact",,"blc","268",rare,Colorless,Owned,Non-foil,mainboard,false,,,"","",128683,false,false,"Jason A. Engle"
"Craterhoof Behemoth",8,"Creature - Beast",G,"avr","172",mythic,Green,Owned,Non-foil,mainboard,false,,,"","",43921,false,false,"Chris Rahn"
"Crop Rotation",1,"Instant",G,"soa","116",uncommon,Green,Owned,Non-foil,mainboard,false,,,"","",148539,false,false,"shikitori"
"Crucible of Worlds",3,"Artifact",,"2x2","303",mythic,Colorless,Owned,Non-foil,mainboard,false,,,"","",102090,false,false,"Ron Spencer"
"Culling Ritual",4,"Sorcery",BG,"soa","127",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",148561,false,false,"Matthew Meyer"
"Culling the Weak",1,"Instant",B,"exo","55",common,Black,Owned,Non-foil,mainboard,false,,,"","",10719,false,false,"Scott M. Fischer"
"Curiosity",1,"Enchantment - Aura",U,"isd","49",uncommon,Blue,Owned,Non-foil,mainboard,false,,,"","",42538,false,false,"Igor Kieryluk"
"Cursed Mirror",3,"Artifact",R,"mh3","279",rare,null,Owned,Non-foil,mainboard,false,,,"","",125969,false,false,"David Gaillet"
"Cyclonic Rift",2,"Instant",U,"rtr","35",mythic,Blue,Owned,Non-foil,mainboard,false,,,"","",46733,false,false,"Chris Rahn"
"Dakmor Salvage",0,"Land",B,"uma","240",uncommon,Lands,Owned,Non-foil,mainboard,false,,,"","",70557,false,false,"John Avon"
"Damnation",4,"Sorcery",B,"spg","68",rare,Black,Owned,Non-foil,mainboard,false,,,"","",131427,false,false,"Masahiro Ito"
"Dance of the Dead",2,"Enchantment - Aura",B,"ice","118",uncommon,Black,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Randy Gallegos"
"Dargo, the Shipwrecker",7,"Legendary Creature - Giant Pirate",R,"cmr","172",uncommon,Red,Owned,Non-foil,mainboard,false,,,"","",85126,false,false,"Zoltan Boros"
"Dark Depths",0,"Legendary Snow Land",,"dmr","244",mythic,Lands,Owned,Foil,mainboard,false,,,"","",108017,false,false,"Mathias Kollros"
"Dark Petition",5,"Sorcery",B,"ori","90",rare,Black,Owned,Non-foil,mainboard,false,,,"","",57968,false,false,"Igor Kieryluk"
"Dark Ritual",1,"Instant",B,"mmq","129",common,Black,Owned,Non-foil,mainboard,false,,,"","",13287,false,false,"Rebecca Guay"
"Dauthi Voidwalker",2,"Creature - Dauthi Rogue",B,"mh2","81",rare,Black,Owned,Non-foil,mainboard,false,,,"","",90535,false,false,"Sidharth Chaturvedi"
"Day of Judgment",4,"Sorcery",W,"sta","65",rare,White,Owned,Non-foil,mainboard,false,,,"","",99529,false,false,"Maiko Yoshizawa"
"Dazzling Theater // Prop Room",7,"Enchantment - Room",W,"dsk","334",rare,null,Owned,Non-foil,mainboard,false,,,"","",130021,false,false,"Ivan Shavrin"
"Deadeye Navigator",6,"Creature - Spirit",U,"inr","59",rare,Blue,Owned,Non-foil,mainboard,false,,,"","",135492,false,false,"Lie Setiawan"
"Deadly Rollick",4,"Instant",B,"c20","42",rare,Black,Owned,Non-foil,mainboard,false,,,"","",80665,false,false,"Izzy"
"Deadpool, Trading Card",4,"Legendary Creature - Mutant Mercenary Hero",BR,"sld","1753",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Justine Cruz"
"Deathrite Shaman",1,"Creature - Elf Shaman",BG,"rvr","363",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",120303,false,false,"Steve Argyle"
"Defense Grid",2,"Artifact",,"brr","13",rare,Colorless,Owned,Non-foil,mainboard,false,,,"","",104444,false,false,"Mark Tedin"
"Deflecting Swat",3,"Instant",R,"c20","50",rare,Red,Proxied,Non-foil,mainboard,false,,,"","",80681,false,false,"Izzy"
"Delay",2,"Instant",U,"tsr","61",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",86485,false,false,"Svetlin Velinov"
"Delighted Halfling",1,"Creature - Halfling Citizen",G,"ltr","158",rare,Green,Owned,Foil,mainboard,false,,,"","",112226,false,false,"Inka Schulz"
"Delney, Streetwise Lookout",3,"Legendary Creature - Human Scout",W,"mkm","12",mythic,White,Owned,Non-foil,mainboard,false,,,"","",121512,false,false,"Darren Tan"
"Demonic Counsel",2,"Sorcery",B,"dsk","310",rare,Black,Owned,Non-foil,mainboard,false,,,"","",129875,false,false,"Bastien Grivet"
"Derevi, Empyrial Tactician",3,"Legendary Creature - Bird Wizard",GUW,"blc","87",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",128295,false,false,"Nathaniel Himawan"
"Devoted Druid",2,"Creature - Elf Druid",G,"spg","138",common,Green,Owned,Non-foil,mainboard,false,,,"","",147225,false,false,"Ryan Riller"
"Diabolic Intent",2,"Sorcery",B,"bro","89",rare,Black,Owned,Foil,mainboard,false,,,"","",104796,false,false,"Dan Murayama Scott"
"Dihada, Binder of Wills",4,"Legendary Planeswalker - Dihada",BRW,"dmc","1",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",103040,false,false,"Néstor Ossandón Leal"
"Dimir Signet",2,"Artifact",BU,"woc","146",uncommon,Multicolored,Owned,Non-foil,mainboard,false,,,"","",117210,false,false,"Raoul Vitale"
"Dismember",3,"Instant",B,"soa","158",rare,Black,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"SETTA"
"Displacer Kitten",4,"Creature - Cat Beast",U,"clb","63",rare,Blue,Owned,Non-foil,mainboard,false,,,"","",100124,false,false,"Campbell White"
"Disruptor Flute",2,"Artifact",,"mh3","209",rare,Colorless,Owned,Non-foil,mainboard,false,,,"","",126437,false,false,"Xavier Ribeiro"
"Dockside Extortionist",2,"Creature - Goblin Pirate",R,"c19","24",mythic,Red,Owned,Non-foil,mainboard,false,,,"","",77102,false,false,"Forrest Imel"
"Domri, Anarch of Bolas",3,"Legendary Planeswalker - Domri",GR,"war","191",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",71988,false,false,"Raymond Swanland"
"Doomsday",3,"Sorcery",B,"6ed","121",mythic,Black,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Adrian Smith"
"Doorkeeper Thrull",2,"Creature - Thrull",W,"mkm","13",rare,White,Owned,Non-foil,mainboard,false,,,"","",121514,false,false,"Camille Alquier"
"Dovin's Veto",2,"Instant",UW,"war","193",special,Multicolored,Owned,Non-foil,mainboard,false,,,"","",71992,false,false,"Izzy"
"Dragon's Rage Channeler",1,"Creature - Human Shaman",R,"mh2","121",uncommon,Red,Owned,Non-foil,mainboard,false,,,"","",90615,false,false,"Martina Fačková"
"Dramatic Reversal",2,"Instant",U,"kld","44",rare,Blue,Owned,Non-foil,mainboard,false,,,"","",61915,false,false,"Eric Deschamps"
"Drannith Magistrate",2,"Creature - Human Wizard",W,"iko","11",rare,White,Owned,Non-foil,mainboard,false,,,"","",80031,false,false,"Kieran Yanner"
"Dread Return",4,"Sorcery",B,"tsp","104",common,Black,Owned,Non-foil,mainboard,false,,,"","",25733,false,false,"Kev Walker"
"Dryad's Revival",3,"Sorcery",G,"mid","183",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",93354,false,false,"Mila Pesic"
"Dualcaster Mage",3,"Creature - Human Wizard",R,"c21","165",rare,Red,Owned,Non-foil,mainboard,false,,,"","",89431,false,false,"Matt Stewart"
"Duress",1,"Sorcery",B,"sta","92",common,Black,Owned,Non-foil,mainboard,false,,,"","",99583,false,false,"Romiy"
"Earthcraft",2,"Enchantment",G,"tmp","222",rare,Green,Proxied,Non-foil,mainboard,false,,,"","",9823,false,false,"Randy Gallegos"
"Eddie Brock",3,"Legendary Creature - Human Hero Villain",BGR,"spm","55",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",153349,false,false,"Greg Staples"
"Edric, Spymaster of Trest",3,"Legendary Creature - Elf Rogue",GU,"cns","187",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Volkan Baǵa"
"Eirdu, Carrier of Dawn",5,"Legendary Creature - Elemental God",BW,"ecl","13",mythic,null,Owned,Non-foil,mainboard,false,,,"","",146407,false,false,"Lucas Graciano"
"Eladamri's Call",2,"Instant",GW,"pls","106",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",15111,false,false,"Kev Walker"
"Elas il-Kor, Sadistic Pilgrim",2,"Legendary Creature - Phyrexian Kor Cleric",BW,"dmu","198",uncommon,Multicolored,Owned,Non-foil,mainboard,false,,,"","",102872,false,false,"G-host Lee"
"Eldrazi Displacer",3,"Creature - Eldrazi",W,"m3c","169",rare,White,Owned,Non-foil,mainboard,false,,,"","",126879,false,false,"Daarken"
"Eldritch Evolution",3,"Sorcery",G,"inr","410",rare,Green,Owned,Non-foil,mainboard,false,,,"","",135106,false,false,"Jason Rainville"
"Electro, Assaulting Battery",3,"Legendary Creature - Human Villain",R,"spm","76",rare,Red,Owned,Non-foil,mainboard,false,,,"","",153391,false,false,"Piotr Dura"
"Electroduplicate",3,"Sorcery",R,"fdn","85",rare,null,Owned,Non-foil,mainboard,false,,,"","",133738,false,false,"Warren Mahy"
"Elesh Norn, Mother of Machines",5,"Legendary Creature - Phyrexian Praetor",W,"one","10",mythic,White,Owned,Foil,mainboard,false,,,"","",106235,false,false,"Martina Fačková"
"Ellie, Vengeful Hunter",3,"Legendary Creature - Human Survivor",BR,"sld","2203",mythic,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Irvin Rodriguez"
"Elmar, Ulvenwald Informant",3,"Legendary Creature - Human",GR,"slx","4",rare,null,Owned,Non-foil,mainboard,false,,,"","",105935,false,false,"Eliz Roxs"
"Elsha of the Infinite",5,"Legendary Creature - Djinn Monk",RUW,"2x2","208",rare,Multicolored,Owned,Non-foil,mainboard,false,,,"","",101900,false,false,"G-host Lee"
"Elspeth, Storm Slayer",5,"Legendary Planeswalker - Elspeth",W,"tdm","11",mythic,White,Owned,Non-foil,mainboard,false,,,"","",138965,false,false,"Ekaterina Burmak"
"Elspeth, Sun's Champion",6,"Legendary Planeswalker - Elspeth",W,"mkc","62",mythic,null,Owned,Non-foil,mainboard,false,,,"","",122264,false,false,"Eric Deschamps"
"Elves of Deep Shadow",1,"Creature - Elf Druid",G,"rav","161",common,Multicolored,Owned,Non-foil,mainboard,false,,,"","",23100,false,false,"Justin Sweet"
"Elvish Mystic",1,"Creature - Elf Druid",G,"m15","173",common,Green,Owned,Non-foil,mainboard,false,,,"","",53460,false,false,"Wesley Burt"
"Elvish Reclaimer",1,"Creature - Elf Warrior",G,"m20","169",rare,null,Owned,Non-foil,mainboard,false,,,"","",73237,false,false,"Victor Adame Minguez"
"Elvish Spirit Guide",3,"Creature - Elf Spirit",G,"dmr","157",uncommon,Green,Owned,Non-foil,mainboard,false,,,"","",107803,false,false,"Anna Steinbauer"
"Emergence Zone",0,"Land",,"war","245",uncommon,Lands,Owned,Non-foil,mainboard,false,,,"","",72096,false,false,"Jonas De Ro"
"Emergency Eject",3,"Instant",W,"eoe","14",uncommon,White,Owned,Non-foil,mainboard,false,,,"","",142641,false,false,"Leon Tukker"
"Emiel the Blessed",4,"Legendary Creature - Unicorn",GW,"j22","180",mythic,Multicolored,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Antonio José Manzanedo"
"Emrakul, the Aeons Torn",15,"Legendary Creature - Eldrazi",,"mm2","3",mythic,Colorless,Owned,Non-foil,mainboard,false,,,"","",57184,false,false,"Mark Tedin"
"Emrakul, the Promised End",13,"Legendary Creature - Eldrazi",,"emn","6",mythic,Colorless,Owned,Non-foil,mainboard,false,,,"","",61068,false,false,"Jaime Jones"
"Endurance",3,"Creature - Elemental Incarnation",G,"mh2","157",mythic,Green,Owned,Non-foil,mainboard,false,,,"","",90691,false,false,"Anastasia Ovchinnikova"
"Enlightened Tutor",1,"Instant",W,"6ed","19",rare,White,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Dan Frazier"
"Entomb",1,"Instant",B,"uma","94",rare,Black,Owned,Non-foil,mainboard,false,,,"","",70261,false,false,"Seb McKinnon"
"Ephemerate",1,"Instant",W,"mh1","7",common,White,Owned,Non-foil,mainboard,false,,,"","",72386,false,false,"Bastien L. Deharme"
"Ersta, Friend to All",5,"Legendary Planeswalker - Ersta",BGRUW,"ph21","4",mythic,Multicolored,Premium Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Winona Nelson"
